sample	drug	PCIDs	syn	gvm
CPC001_HCC515_24H-y_134-10.0	y 134	11784736		pc11784736
CPC001_HCC515_24H-z-leu3-vs-10.0	z leu3 vs	114771		pc114771
CPC001_HCC515_24H-zaprinast-10.0	zaprinast	5722		pc5722
CPC001_HCC515_24H-zd_2079_hydrochloride-10.0	zd 2079 hydrochloride	2724385		pc2724385
CPC001_HCC515_24H-zd_7155_hydrochloride-10.0	zd 7155 hydrochloride	16759158		pc16759158
CPC001_HCC515_6H-BRD-K62310379_(fluticasone_propionate)-10.0	brd k62310379		fluticasone_propionate	brdk62310379
CPC001_HCC515_6H-ag-879-10.0	ag 879	5487525		pc5487525
CPC001_HCC515_6H-ag_592-10.0	ag 592			ag592
CPC001_HCC515_6H-angiogenesis_inhibitor-10.0	angiogenesis inhibitor	2812173		pc2812173
CPC001_HCC515_6H-arachidonamide-10.0	arachidonamide	5487525		pc5487525
CPC001_HCC515_6H-arp_101-10.0	arp 101	11292680		pc11292680
CPC001_HCC515_6H-bapta-am-10.0	bapta am	2293		pc2293
CPC001_HCC515_6H-bis-tyrphostin-10.0	bis tyrphostin			bistyrphostin
CPC001_HCC515_6H-bml-190-10.0	bml 190	5311093		pc5311093
CPC001_HCC515_6H-brefeldin_a-10.0	brefeldin a	5287620		pc5287620
CPC001_HCC515_6H-cgp_52432-10.0	cgp 52432	5908088		pc5908088
CPC001_HCC515_6H-clofarabine-10.0	clofarabine	119182		pc119182
CPC001_HCC515_6H-cp_93129_dihydrochloride-10.0	cp 93129 dihydrochloride			cp93129dihydrochloride
CPC001_HCC515_6H-cucurbitacin_i-10.0	cucurbitacin i	5328775		pc5328775
CPC001_HCC515_6H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC001_HCC515_6H-dehydroisoandosterone_3-acetate-10.0	dehydroisoandosterone 3 acetate			dehydroisoandosterone3acetate
CPC001_HCC515_6H-er_27319_maleate-10.0	er 27319 maleate	6091659		pc6091659
CPC001_HCC515_6H-fluticasone_propionate-10.0	fluticasone propionate	444036		pc444036
CPC001_HCC515_6H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC001_HCC515_6H-gw_583340_dihydrochloride-10.0	gw 583340 dihydrochloride	11497466		pc11497466
CPC001_HCC515_6H-halcinonide-10.0	halcinonide	443943		pc443943
CPC001_HCC515_6H-homoharringtonine-10.0	homoharringtonine	285033		pc285033
CPC001_HCC515_6H-ici-162,846-10.0	ici 162,846	134778		pc134778
CPC001_HCC515_6H-ikk_16-10.0	ikk 16	11292680		pc11292680
CPC001_HCC515_6H-imd_0354-10.0	imd 0354	5081913		pc5081913
CPC001_HCC515_6H-isoflupredone_acetate-10.0	isoflupredone acetate	224246		pc224246
CPC001_HCC515_6H-jak3_inhibitor_i-10.0	jak3 inhibitor i	3794		pc3794
CPC001_HCC515_6H-jak3_inhibitor_vi-10.0	jak3 inhibitor vi	16760524		pc16760524
CPC001_HCC515_6H-kf_38789-10.0	kf 38789	5373277		pc5373277
CPC001_HCC515_6H-mek1/2_inhibitor-10.0	mek1/2 inhibitor	3795		pc3795
CPC001_HCC515_6H-methyl_7-desoxypurpurogallin-7-carboxylate_trimethyl_ether-10.0	methyl 7 desoxypurpurogallin 7 carboxylate trimethyl ether	4369491		pc4369491
CPC001_HCC515_6H-na-tosyl-lys_chloromethyl_ketone,_hydrochloride-10.0	na tosyl lys chloromethyl ketone, hydrochloride	5330535		pc5330535
CPC001_HCC515_6H-pd_407824-10.0	pd 407824	4369491		pc4369491
CPC001_HCC515_6H-pi_828-10.0	pi 828	25181195		pc25181195
CPC001_HCC515_6H-piperacetazine-10.0	piperacetazine	25181195		pc25181195
CPC001_HCC515_6H-pyrrolidinedithiocarbamate_ammonium-10.0	pyrrolidinedithiocarbamate ammonium	2293		pc2293
CPC001_HCC515_6H-rimcazole_dihydrochloride-10.0	rimcazole dihydrochloride	53388		pc53388
CPC001_HCC515_6H-rottlerin_ncgc00025228-11-10.0	rottlerin ncgc00025228 11			rottlerinncgc0002522811
CPC001_HCC515_6H-ryuvidine-10.0	ryuvidine	5281787		pc5281787
CPC001_HCC515_6H-sdz_nkt_343-10.0	sdz nkt 343	9851211		pc9851211
CPC001_HCC515_6H-strophanthidin-10.0	strophanthidin	6185		pc6185
CPC001_HCC515_6H-syk_inhibitor-10.0	syk inhibitor	6419747		pc6419747
CPC001_HCC515_6H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC001_HCC515_6H-tws119-10.0	tws119	9549289		pc9549289
CPC001_HCC515_6H-vinblastine_sulfate-10.0	vinblastine sulfate	5388983		pc5388983
CPC001_HCC515_6H-vorinostat-10.0	vorinostat	5311		pc5311
CPC001_HCC515_6H-wortmannin-10.0	wortmannin	312145		pc312145
CPC001_HCC515_6H-z-leu3-vs-10.0	z leu3 vs	114771		pc114771
CPC001_PC3_24H-BRD-A95445494-10.0	brd a95445494	73343		pc73343
CPC001_PC3_24H-BRD-K62310379_(fluticasone_propionate)-10.0	brd k62310379		fluticasone_propionate	brdk62310379
CPC001_PC3_24H-BRD-K81209512_(ag_494)-10.0	brd k81209512		ag_494	brdk81209512
CPC001_PC3_24H-ag-1296-10.0	ag 1296			ag1296
CPC001_PC3_24H-ag-879-10.0	ag 879	5487525		pc5487525
CPC001_PC3_24H-ag_494-10.0	ag 494	5328771		pc5328771
CPC001_PC3_24H-ag_556-10.0	ag 556	5328775		pc5328775
CPC001_PC3_24H-ag_592-10.0	ag 592			ag592
CPC001_PC3_24H-ag_825-10.0	ag 825			ag825
CPC001_PC3_24H-aloisine-10.0	aloisine	3641059		pc3641059
CPC001_PC3_24H-am_404-10.0	am 404	6604822		pc6604822
CPC001_PC3_24H-angiogenesis_inhibitor-10.0	angiogenesis inhibitor	2812173		pc2812173
CPC001_PC3_24H-arp_101-10.0	arp 101	11292680		pc11292680
CPC001_PC3_24H-brefeldin_a-10.0	brefeldin a	5287620		pc5287620
CPC001_PC3_24H-bu_239_hydrochloride-10.0	bu 239 hydrochloride	13791		pc13791
CPC001_PC3_24H-bw-b_70c-10.0	bw b 70c	5353454		pc5353454
CPC001_PC3_24H-cabergoline-10.0	cabergoline	54746		pc54746
CPC001_PC3_24H-caffeic_acid_phenethyl_ester-10.0	caffeic acid phenethyl ester	5281787		pc5281787
CPC001_PC3_24H-cfm_1571_hydrochloride-10.0	cfm 1571 hydrochloride	56972190		pc56972190
CPC001_PC3_24H-cilnidipine-10.0	cilnidipine	5282138		pc5282138
CPC001_PC3_24H-clobetasol_propionate-10.0	clobetasol propionate	32798		pc32798
CPC001_PC3_24H-clofarabine-10.0	clofarabine	119182		pc119182
CPC001_PC3_24H-cosmosiin-10.0	cosmosiin	5280704		pc5280704
CPC001_PC3_24H-cp_55,940-10.0	cp 55,940	5328771		pc5328771
CPC001_PC3_24H-cyclosporin_a-10.0	cyclosporin a	5284373		pc5284373
CPC001_PC3_24H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC001_PC3_24H-dapt-10.0	dapt	445154		pc445154
CPC001_PC3_24H-dichlorobenzamil-10.0	dichlorobenzamil	114771		pc114771
CPC001_PC3_24H-digoxin-10.0	digoxin	2724385		pc2724385
CPC001_PC3_24H-diphenyleneiodonium_chloride-10.0	diphenyleneiodonium chloride	2733504		pc2733504
CPC001_PC3_24H-dy131-10.0	dy131	53388		pc53388
CPC001_PC3_24H-er_27319_maleate-10.0	er 27319 maleate	6091659		pc6091659
CPC001_PC3_24H-estradiol_valerate-10.0	estradiol valerate	13791		pc13791
CPC001_PC3_24H-fit-10.0	fit	84008		pc84008
CPC001_PC3_24H-fk_888-10.0	fk 888	107967		pc107967
CPC001_PC3_24H-fluticasone_propionate-10.0	fluticasone propionate	444036		pc444036
CPC001_PC3_24H-fr_139317-10.0	fr 139317	107810		pc107810
CPC001_PC3_24H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC001_PC3_24H-genistin-10.0	genistin	5281377		pc5281377
CPC001_PC3_24H-ginsenoside-rc-10.0	ginsenoside rc	12855889		pc12855889
CPC001_PC3_24H-gr_127935_hydrochloride-10.0	gr 127935 hydrochloride	11497466		pc11497466
CPC001_PC3_24H-gr_89696_fumarate-10.0	gr 89696 fumarate			gr89696fumarate
CPC001_PC3_24H-gsk-3b_inhibitor_viii-10.0	gsk 3b inhibitor viii			gsk3binhibitorviii
CPC001_PC3_24H-h_89_dihydrochloride-10.0	h 89 dihydrochloride	449241		pc449241
CPC001_PC3_24H-halcinonide-10.0	halcinonide	443943		pc443943
CPC001_PC3_24H-heat_hydrochloride-10.0	heat hydrochloride			heathydrochloride
CPC001_PC3_24H-hemado-10.0	hemado	10981286		pc10981286
CPC001_PC3_24H-homoharringtonine-10.0	homoharringtonine	285033		pc285033
CPC001_PC3_24H-ic_261-10.0	ic 261	5288600		pc5288600
CPC001_PC3_24H-ici-162,846-10.0	ici 162,846	134778		pc134778
CPC001_PC3_24H-ikk_16-10.0	ikk 16	11292680		pc11292680
CPC001_PC3_24H-imd_0354-10.0	imd 0354	5081913		pc5081913
CPC001_PC3_24H-ivachtin-10.0	ivachtin	9824953		pc9824953
CPC001_PC3_24H-jak3_inhibitor_i-10.0	jak3 inhibitor i	3794		pc3794
CPC001_PC3_24H-jak3_inhibitor_ii-10.0	jak3 inhibitor ii	3795		pc3795
CPC001_PC3_24H-jak3_inhibitor_vi-10.0	jak3 inhibitor vi	16760524		pc16760524
CPC001_PC3_24H-jte_907-10.0	jte 907	443943		pc443943
CPC001_PC3_24H-kf_38789-10.0	kf 38789	5373277		pc5373277
CPC001_PC3_24H-kn-62-10.0	kn 62	3838		pc3838
CPC001_PC3_24H-l-732,138-10.0	l 732,138	132837		pc132837
CPC001_PC3_24H-l-733,060_hydrochloride-10.0	l 733,060 hydrochloride	481747		pc481747
CPC001_PC3_24H-lawsone-10.0	lawsone	6755		pc6755
CPC001_PC3_24H-leflunomide-10.0	leflunomide	3899		pc3899
CPC001_PC3_24H-lfm-a12-10.0	lfm a12			lfma12
CPC001_PC3_24H-lobelanidine_hydrochloride-10.0	lobelanidine hydrochloride	197840		pc197840
CPC001_PC3_24H-ly-165,163-10.0	ly 165,163	121930		pc121930
CPC001_PC3_24H-lylamine_hydrochloride-10.0	lylamine hydrochloride	16759156		pc16759156
CPC001_PC3_24H-mammea_a/ba_+_a/bb-10.0	mammea a/ba + a/bb	5081913		pc5081913
CPC001_PC3_24H-meclocycline_sulfosalicylate-10.0	meclocycline sulfosalicylate	60934		pc60934
CPC001_PC3_24H-mevastatin-10.0	mevastatin	64715		pc64715
CPC001_PC3_24H-mibefradil_dihydrochloride-10.0	mibefradil dihydrochloride	60662		pc60662
CPC001_PC3_24H-n-benzylnaltrindole_hydrochloride-10.0	n benzylnaltrindole hydrochloride			nbenzylnaltrindolehydrochloride
CPC001_PC3_24H-nnc_05-2090_hydrochloride-10.0	nnc 05 2090 hydrochloride			nnc052090hydrochloride
CPC001_PC3_24H-nsc_693868-10.0	nsc 693868	438981		pc438981
CPC001_PC3_24H-ntncb_hydrochloride-10.0	ntncb hydrochloride	16759158		pc16759158
CPC001_PC3_24H-ntzdpa-10.0	ntzdpa	6437		pc6437
CPC001_PC3_24H-o-2050-10.0	o 2050			o2050
CPC001_PC3_24H-pd_166793-10.0	pd 166793	9887870		pc9887870
CPC001_PC3_24H-pd_407824-10.0	pd 407824	4369491		pc4369491
CPC001_PC3_24H-pdgf_receptor_tyrosine_kinase_inhibitor_i-10.0	pdgf receptor tyrosine kinase inhibitor i	5330535		pc5330535
CPC001_PC3_24H-pi_828-10.0	pi 828	25181195		pc25181195
CPC001_PC3_24H-piretanide-10.0	piretanide	4849		pc4849
CPC001_PC3_24H-pirfenidone-10.0	pirfenidone	40632		pc40632
CPC001_PC3_24H-pnu_96415e-10.0	pnu 96415e	11957684		pc11957684
CPC001_PC3_24H-prostaglandin_e2-10.0	prostaglandin e2	176408		pc176408
CPC001_PC3_24H-purmorphamine-10.0	purmorphamine	5284329		pc5284329
CPC001_PC3_24H-r(+)-skf-81297-10.0	r(+) skf 81297			rskf81297
CPC001_PC3_24H-resveratrol-10.0	resveratrol	445154		pc445154
CPC001_PC3_24H-rg-13022-10.0	rg 13022	668079		pc668079
CPC001_PC3_24H-rimcazole_dihydrochloride-10.0	rimcazole dihydrochloride	53388		pc53388
CPC001_PC3_24H-ro_60-0175-10.0	ro 60 0175	3045227		pc3045227
CPC001_PC3_24H-rottlerin_ncgc00025228-11-10.0	rottlerin ncgc00025228 11			rottlerinncgc0002522811
CPC001_PC3_24H-rs_17053_hydrochloride-10.0	rs 17053 hydrochloride	5287620		pc5287620
CPC001_PC3_24H-rs_504393-10.0	rs 504393	9953769		pc9953769
CPC001_PC3_24H-ryuvidine-10.0	ryuvidine	5281787		pc5281787
CPC001_PC3_24H-sarmentogenin-10.0	sarmentogenin	6437		pc6437
CPC001_PC3_24H-sb_225002-10.0	sb 225002	3854666		pc3854666
CPC001_PC3_24H-sch_58261-10.0	sch 58261	5280704		pc5280704
CPC001_PC3_24H-scoulerine-10.0	scoulerine	6185		pc6185
CPC001_PC3_24H-sdz_nkt_343-10.0	sdz nkt 343	9851211		pc9851211
CPC001_PC3_24H-sericetin-10.0	sericetin	10022508		pc10022508
CPC001_PC3_24H-sr_49059-10.0	sr 49059	60943		pc60943
CPC001_PC3_24H-strophanthidin-10.0	strophanthidin	6185		pc6185
CPC001_PC3_24H-syk_inhibitor-10.0	syk inhibitor	6419747		pc6419747
CPC001_PC3_24H-t_98475-10.0	t 98475	9874838		pc9874838
CPC001_PC3_24H-taxol-10.0	taxol	36314		pc36314
CPC001_PC3_24H-tenidap-10.0	tenidap	54683953		pc54683953
CPC001_PC3_24H-tms-10.0	tms	5354004		pc5354004
CPC001_PC3_24H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC001_PC3_24H-tws119-10.0	tws119	9549289		pc9549289
CPC001_PC3_24H-u_18666a-10.0	u 18666a	9954082		pc9954082
CPC001_PC3_24H-ub_165_fumarate-10.0	ub 165 fumarate	5284373		pc5284373
CPC001_PC3_24H-vinblastine_sulfate-10.0	vinblastine sulfate	5388983		pc5388983
CPC001_PC3_24H-vorinostat-10.0	vorinostat	5311		pc5311
CPC001_PC3_24H-w-9_hydrochloride-10.0	w 9 hydrochloride			w9hydrochloride
CPC001_PC3_24H-wortmannin-10.0	wortmannin	312145		pc312145
CPC001_PC3_24H-wr_216174-10.0	wr 216174			wr216174
CPC001_PC3_24H-y_134-10.0	y 134	11784736		pc11784736
CPC001_PC3_24H-z-leu3-vs-10.0	z leu3 vs	114771		pc114771
CPC001_PC3_24H-zk_164015-10.0	zk 164015	9806489		pc9806489
CPC001_PC3_6H-BRD-K85318537_(obaa)-10.0	brd k85318537	56972172	obaa	pc56972172
CPC001_PC3_6H-ag-879-10.0	ag 879	5487525		pc5487525
CPC001_PC3_6H-ag_494-10.0	ag 494	5328771		pc5328771
CPC001_PC3_6H-ag_592-10.0	ag 592			ag592
CPC001_PC3_6H-angiogenesis_inhibitor-10.0	angiogenesis inhibitor	2812173		pc2812173
CPC001_PC3_6H-arachidonamide-10.0	arachidonamide	5487525		pc5487525
CPC001_PC3_6H-arp_101-10.0	arp 101	11292680		pc11292680
CPC001_PC3_6H-austricine_hydrate-10.0	austricine hydrate	25102721		pc25102721
CPC001_PC3_6H-bapta-am-10.0	bapta am	2293		pc2293
CPC001_PC3_6H-bd_1063_dihydrochloride-10.0	bd 1063 dihydrochloride	16211025		pc16211025
CPC001_PC3_6H-brefeldin_a-10.0	brefeldin a	5287620		pc5287620
CPC001_PC3_6H-caffeic_acid_phenethyl_ester-10.0	caffeic acid phenethyl ester	5281787		pc5281787
CPC001_PC3_6H-cgs_21680_hydrochloride-10.0	cgs 21680 hydrochloride	84008		pc84008
CPC001_PC3_6H-clofarabine-10.0	clofarabine	119182		pc119182
CPC001_PC3_6H-cosmosiin-10.0	cosmosiin	5280704		pc5280704
CPC001_PC3_6H-cucurbitacin_i-10.0	cucurbitacin i	5328775		pc5328775
CPC001_PC3_6H-cyclosporin_a-10.0	cyclosporin a	5284373		pc5284373
CPC001_PC3_6H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC001_PC3_6H-dichlorobenzamil-10.0	dichlorobenzamil	114771		pc114771
CPC001_PC3_6H-digoxin-10.0	digoxin	2724385		pc2724385
CPC001_PC3_6H-dihydro-beta-tubaic_acid-10.0	dihydro beta tubaic acid	57358708		pc57358708
CPC001_PC3_6H-diphenyleneiodonium_chloride-10.0	diphenyleneiodonium chloride	2733504		pc2733504
CPC001_PC3_6H-er_27319_maleate-10.0	er 27319 maleate	6091659		pc6091659
CPC001_PC3_6H-estradiol_valerate-10.0	estradiol valerate	13791		pc13791
CPC001_PC3_6H-fk_888-10.0	fk 888	107967		pc107967
CPC001_PC3_6H-fraxidin_methyl_ether-10.0	fraxidin methyl ether	6419747		pc6419747
CPC001_PC3_6H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC001_PC3_6H-genistin-10.0	genistin	5281377		pc5281377
CPC001_PC3_6H-ginsenoside-rc-10.0	ginsenoside rc	12855889		pc12855889
CPC001_PC3_6H-gr_127935_hydrochloride-10.0	gr 127935 hydrochloride	11497466		pc11497466
CPC001_PC3_6H-gsk-3b_inhibitor_viii-10.0	gsk 3b inhibitor viii			gsk3binhibitorviii
CPC001_PC3_6H-hemado-10.0	hemado	10981286		pc10981286
CPC001_PC3_6H-homoharringtonine-10.0	homoharringtonine	285033		pc285033
CPC001_PC3_6H-ici-162,846-10.0	ici 162,846	134778		pc134778
CPC001_PC3_6H-ici-185,282-10.0	ici 185,282	6769		pc6769
CPC001_PC3_6H-ikk_16-10.0	ikk 16	11292680		pc11292680
CPC001_PC3_6H-imd_0354-10.0	imd 0354	5081913		pc5081913
CPC001_PC3_6H-jak3_inhibitor_i-10.0	jak3 inhibitor i	3794		pc3794
CPC001_PC3_6H-jak3_inhibitor_ii-10.0	jak3 inhibitor ii	3795		pc3795
CPC001_PC3_6H-jak3_inhibitor_vi-10.0	jak3 inhibitor vi	16760524		pc16760524
CPC001_PC3_6H-kf_38789-10.0	kf 38789	5373277		pc5373277
CPC001_PC3_6H-l-732,138-10.0	l 732,138	132837		pc132837
CPC001_PC3_6H-l-733,060_hydrochloride-10.0	l 733,060 hydrochloride	481747		pc481747
CPC001_PC3_6H-lawsone-10.0	lawsone	6755		pc6755
CPC001_PC3_6H-levcromakalim-10.0	levcromakalim	93504		pc93504
CPC001_PC3_6H-lylamine_hydrochloride-10.0	lylamine hydrochloride	16759156		pc16759156
CPC001_PC3_6H-mammea_a/ba_+_a/bb-10.0	mammea a/ba + a/bb	5081913		pc5081913
CPC001_PC3_6H-mdm2_inhibitor-10.0	mdm2 inhibitor	10022508		pc10022508
CPC001_PC3_6H-mmpx-10.0	mmpx	5373277		pc5373277
CPC001_PC3_6H-n-benzylnaltrindole_hydrochloride-10.0	n benzylnaltrindole hydrochloride			nbenzylnaltrindolehydrochloride
CPC001_PC3_6H-nnc_05-2090_hydrochloride-10.0	nnc 05 2090 hydrochloride			nnc052090hydrochloride
CPC001_PC3_6H-nsc_693868-10.0	nsc 693868	438981		pc438981
CPC001_PC3_6H-ntncb_hydrochloride-10.0	ntncb hydrochloride	16759158		pc16759158
CPC001_PC3_6H-o-2050-10.0	o 2050			o2050
CPC001_PC3_6H-obaa-10.0	obaa	6755		pc6755
CPC001_PC3_6H-oxindole_i-10.0	oxindole i	5908088		pc5908088
CPC001_PC3_6H-pd_407824-10.0	pd 407824	4369491		pc4369491
CPC001_PC3_6H-pdgf_receptor_tyrosine_kinase_inhibitor_i-10.0	pdgf receptor tyrosine kinase inhibitor i	5330535		pc5330535
CPC001_PC3_6H-pi_828-10.0	pi 828	25181195		pc25181195
CPC001_PC3_6H-piretanide-10.0	piretanide	4849		pc4849
CPC001_PC3_6H-prostaglandin_e2-10.0	prostaglandin e2	176408		pc176408
CPC001_PC3_6H-pyrrolidinedithiocarbamate_ammonium-10.0	pyrrolidinedithiocarbamate ammonium	2293		pc2293
CPC001_PC3_6H-r(+)-skf-81297-10.0	r(+) skf 81297			rskf81297
CPC001_PC3_6H-rg-13022-10.0	rg 13022	668079		pc668079
CPC001_PC3_6H-rottlerin_ncgc00025228-11-10.0	rottlerin ncgc00025228 11			rottlerinncgc0002522811
CPC001_PC3_6H-rs_17053_hydrochloride-10.0	rs 17053 hydrochloride	5287620		pc5287620
CPC001_PC3_6H-rs_504393-10.0	rs 504393	9953769		pc9953769
CPC001_PC3_6H-ryuvidine-10.0	ryuvidine	5281787		pc5281787
CPC001_PC3_6H-sarmentogenin-10.0	sarmentogenin	6437		pc6437
CPC001_PC3_6H-sch_58261-10.0	sch 58261	5280704		pc5280704
CPC001_PC3_6H-sdz_21009-10.0	sdz 21009	193949		pc193949
CPC001_PC3_6H-selinidin-10.0	selinidin	104895		pc104895
CPC001_PC3_6H-skf_77434_hydrobromide-10.0	skf 77434 hydrobromide	48229		pc48229
CPC001_PC3_6H-skf_81297_hydrobromide-10.0	skf 81297 hydrobromide	64715		pc64715
CPC001_PC3_6H-strophanthidin-10.0	strophanthidin	6185		pc6185
CPC001_PC3_6H-syk_inhibitor-10.0	syk inhibitor	6419747		pc6419747
CPC001_PC3_6H-syrosingopine-10.0	syrosingopine	6769		pc6769
CPC001_PC3_6H-trichostatin_a-10.0	trichostatin a	444732		pc444732
CPC001_PC3_6H-tws119-10.0	tws119	9549289		pc9549289
CPC001_PC3_6H-tyrphostin_ag_1478-10.0	tyrphostin ag 1478	2051		pc2051
CPC001_PC3_6H-ub_165_fumarate-10.0	ub 165 fumarate	5284373		pc5284373
CPC001_PC3_6H-vinblastine_sulfate-10.0	vinblastine sulfate	5388983		pc5388983
CPC001_PC3_6H-vorinostat-10.0	vorinostat	5311		pc5311
CPC001_PC3_6H-wortmannin-10.0	wortmannin	312145		pc312145
CPC001_PC3_6H-wr_216174-10.0	wr 216174			wr216174
CPC001_PC3_6H-z-leu3-vs-10.0	z leu3 vs	114771		pc114771
CPC001_PC3_6H-zd_7155_hydrochloride-10.0	zd 7155 hydrochloride	16759158		pc16759158
CPC001_PC3_6H-zk_164015-10.0	zk 164015	9806489		pc9806489
CPC001_PC3_6H-zuclopenthixol_hydrochloride-10.0	zuclopenthixol hydrochloride	5311507		pc5311507
CPC001_VCAP_24H-BRD-A95445494-10.0	brd a95445494	73343		pc73343
CPC001_VCAP_24H-BRD-K94841585-10.0	brd k94841585			brdk94841585
CPC001_VCAP_24H-ag_494-10.0	ag 494	5328771		pc5328771
CPC001_VCAP_24H-ag_556-10.0	ag 556	5328775		pc5328775
CPC001_VCAP_24H-ag_592-10.0	ag 592			ag592
CPC001_VCAP_24H-ag_825-10.0	ag 825			ag825
CPC001_VCAP_24H-aminogenistein-10.0	aminogenistein	444732		pc444732
CPC001_VCAP_24H-angiogenesis_inhibitor-10.0	angiogenesis inhibitor	2812173		pc2812173
CPC001_VCAP_24H-arp_101-10.0	arp 101	11292680		pc11292680
CPC001_VCAP_24H-azacyclonol-10.0	azacyclonol	9549289		pc9549289
CPC001_VCAP_24H-bd_1008_dihydrobromide-10.0	bd 1008 dihydrobromide	2051		pc2051
CPC001_VCAP_24H-bd_1063_dihydrochloride-10.0	bd 1063 dihydrochloride	16211025		pc16211025
CPC001_VCAP_24H-benoxinate_hydrochloride-10.0	benoxinate hydrochloride	6420040		pc6420040
CPC001_VCAP_24H-bmy_14802_hydrochloride-10.0	bmy 14802 hydrochloride	241902		pc241902
CPC001_VCAP_24H-brefeldin_a-10.0	brefeldin a	5287620		pc5287620
CPC001_VCAP_24H-bw-b_70c-10.0	bw b 70c	5353454		pc5353454
CPC001_VCAP_24H-calpeptin-10.0	calpeptin	5311		pc5311
CPC001_VCAP_24H-cgp_12177_hydrochloride-10.0	cgp 12177 hydrochloride	312145		pc312145
CPC001_VCAP_24H-clobenpropit_dihydrobromide-10.0	clobenpropit dihydrobromide			clobenpropitdihydrobromide
CPC001_VCAP_24H-clofarabine-10.0	clofarabine	119182		pc119182
CPC001_VCAP_24H-cucurbitacin_i-10.0	cucurbitacin i	5328775		pc5328775
CPC001_VCAP_24H-cyclosporine-10.0	cyclosporine	5284373		pc5284373
CPC001_VCAP_24H-danazol-10.0	danazol	28417		pc28417
CPC001_VCAP_24H-dcb-10.0	dcb			dcb
CPC001_VCAP_24H-dfb-10.0	dfb			dfb
CPC001_VCAP_24H-dibutyrylcyclic_amp-10.0	dibutyrylcyclic amp			dibutyrylcyclicamp
CPC001_VCAP_24H-dichlorobenzamil-10.0	dichlorobenzamil	114771		pc114771
CPC001_VCAP_24H-dmp_543-10.0	dmp 543	9806489		pc9806489
CPC001_VCAP_24H-dy131-10.0	dy131	53388		pc53388
CPC001_VCAP_24H-ebpc-10.0	ebpc	54677973		pc54677973
CPC001_VCAP_24H-fit-10.0	fit	84008		pc84008
CPC001_VCAP_24H-fk_888-10.0	fk 888	107967		pc107967
CPC001_VCAP_24H-fraxidin_methyl_ether-10.0	fraxidin methyl ether	6419747		pc6419747
CPC001_VCAP_24H-gbr_13069_dihydrochloride-10.0	gbr 13069 dihydrochloride	57358708		pc57358708
CPC001_VCAP_24H-geldanamycin-10.0	geldanamycin	5288382		pc5288382
CPC001_VCAP_24H-gr_127935_hydrochloride-10.0	gr 127935 hydrochloride	11497466		pc11497466
CPC001_VCAP_24H-gr_144053_trihydrochloride-10.0	gr 144053 trihydrochloride			gr144053trihydrochloride
CPC001_VCAP_24H-hispidin-10.0	hispidin			hispidin
CPC001_VCAP_24H-ibudilast-10.0	ibudilast	3671		pc3671
CPC001_VCAP_24H-ic_261-10.0	ic 261	5288600		pc5288600
CPC001_VCAP_24H-ikk_16-10.0	ikk 16	11292680		pc11292680
CPC001_VCAP_24H-imd_0354-10.0	imd 0354	5081913		pc5081913
CPC001_VCAP_24H-jak3_inhibitor_vi-10.0	jak3 inhibitor vi	16760524		pc16760524
CPC001_VCAP_24H-kf_38789-10.0	kf 38789	5373277		pc5373277
CPC001_VCAP_24H-kn-62-10.0	kn 62	3838		pc3838
CPC001_VCAP_24H-l-689,560-10.0	l 689,560	6604749		pc6604749
CPC001_VCAP_24H-l-733,060_hydrochloride-10.0	l 733,060 hydrochloride	481747		pc481747
CPC001_VCAP_24H-luzindole-10.0	luzindole	3641059		pc3641059
CPC001_VCAP_24H-ly-165,163-10.0	ly 165,163	121930		pc121930
CPC001_VCAP_24H-ly_320135-10.0	ly 320135	6604822		pc6604822
CPC001_VCAP_24H-lylamine_hydrochloride-10.0	lylamine hydrochloride	16759156		pc16759156
CPC001_VCAP_24H-m-3m3fbs-10.0	m 3m3fbs	761523		pc761523
CPC001_VCAP_24H-mammea_a/ba_+_a/bb-10.0	mammea a/ba + a/bb	5081913		pc5081913
CPC001_VCAP_24H-mdm2_inhibitor-10.0	mdm2 inhibitor	10022508		pc10022508
CPC001_VCAP_24H-mibefradil_dihydrochloride-10.0	mibefradil dihydrochloride	60662		pc60662
CPC001_VCAP_24H-milrinone-10.0	milrinone	4197		pc4197
CPC001_VCAP_24H-naproxen-10.0	naproxen	156391		pc156391
CPC001_VCAP_24H-nisoxetine_hydrochloride-10.0	nisoxetine hydrochloride	2293		pc2293
CPC001_VCAP_24H-norethindrone-10.0	norethindrone	6230		pc6230
CPC001_VCAP_24H-npc_15199-10.0	npc 15199	5287620		pc5287620
CPC001_VCAP_24H-ntncb_hydrochloride-10.0	ntncb hydrochloride	16759158		pc16759158
CPC001_VCAP_24H-o-2050-10.0	o 2050			o2050
CPC001_VCAP_24H-odq-10.0	odq	56846046		pc56846046
CPC001_VCAP_24H-omdm-2-10.0	omdm 2	5353454		pc5353454
